,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
65,65,Land,3586505862665.65332,LAND,0.00000,0.13860,0.21000,0.18715,Land,-0.16958,0.21000,0.13625,0.16049,0.30046,0.27327,Land,0.03762,0.07342,0.06196,corporate,0.00604,0.02206,0.01693,0.03762,0.07342,0.06196,0.00000,0.00000,0.00000
66,66,Petroleum and natural gas,1033009084262.45227,SM01,0.07510,0.10739,0.14910,0.13575,Structures,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Mining and Drilling Structures,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.10482,0.13310,0.12405,1.00000,1.00000,1.00000
67,67,Mining,82930242550.87573,SM02,0.04500,0.10739,0.14910,0.13575,Structures,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Mining and Drilling Structures,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.07472,0.10300,0.09395,1.00000,1.00000,1.00000
68,68,Communication,578746934520.27332,SU20,0.02370,0.10739,0.14910,0.13575,Structures,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Mining and Drilling Structures,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.05342,0.08170,0.07265,1.00000,1.00000,1.00000
69,69,Gas,365538291966.44250,SU40,0.07510,0.10739,0.14910,0.13575,Structures,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Mining and Drilling Structures,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.10482,0.13310,0.12405,1.00000,1.00000,1.00000
70,70,Petroleum pipelines,112623061581.18890,SU50,0.02370,0.10739,0.14910,0.13575,Structures,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Mining and Drilling Structures,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.05342,0.08170,0.07265,1.00000,1.00000,1.00000
71,71,Religious,100591058771.57298,SB10,0.01880,0.13259,0.19803,0.17677,Structures,-0.21884,0.17598,0.09797,0.12513,0.27034,0.24106,Nonresidential Buildings,0.03610,0.07039,0.05933,corporate,0.00452,0.01903,0.01430,0.05490,0.08919,0.07813,0.50534,0.39326,0.42350
72,72,Educational and vocational,282731632260.71143,SB20,0.01880,0.13702,0.20555,0.18334,Structures,-0.18219,0.19770,0.12259,0.15144,0.28957,0.26177,Nonresidential Buildings,0.03722,0.07229,0.06100,corporate,0.00564,0.02093,0.01597,0.05602,0.09109,0.07980,0.41857,0.29992,0.33105
73,73,Hospitals,321465584009.55084,SB31,0.01880,0.13702,0.20555,0.18334,Structures,-0.18219,0.19770,0.12259,0.15144,0.28957,0.26177,Nonresidential Buildings,0.03722,0.07229,0.06100,corporate,0.00564,0.02093,0.01597,0.05602,0.09109,0.07980,0.41857,0.29992,0.33105
74,74,Special care,70115662530.67619,SB32,0.01880,0.13702,0.20555,0.18334,Structures,-0.18219,0.19770,0.12259,0.15144,0.28957,0.26177,Nonresidential Buildings,0.03722,0.07229,0.06100,corporate,0.00564,0.02093,0.01597,0.05602,0.09109,0.07980,0.41857,0.29992,0.33105
75,75,Lodging,171809464722.00076,SB41,0.02810,0.14269,0.21239,0.18987,Structures,-0.13823,0.21646,0.14575,0.18299,0.30618,0.28126,Nonresidential Buildings,0.03866,0.07402,0.06265,corporate,0.00707,0.02266,0.01762,0.06676,0.10212,0.09075,0.41857,0.29992,0.33105
76,76,Air transportation,26676130901.78949,SB43,0.02370,0.14001,0.20916,0.18678,Structures,-0.15861,0.20769,0.13495,0.16836,0.29842,0.27217,Nonresidential Buildings,0.03798,0.07320,0.06187,corporate,0.00639,0.02185,0.01684,0.06168,0.09690,0.08557,0.41857,0.29992,0.33105
77,77,Other transportation,3546598618.30267,SB45,0.02370,0.14001,0.20916,0.18678,Structures,-0.15861,0.20769,0.13495,0.16836,0.29842,0.27217,Nonresidential Buildings,0.03798,0.07320,0.06187,corporate,0.00639,0.02185,0.01684,0.06168,0.09690,0.08557,0.41857,0.29992,0.33105
78,78,Warehouses,281416771190.32635,SC01,0.02250,0.13927,0.20827,0.18594,Structures,-0.16430,0.20527,0.13196,0.16428,0.29627,0.26965,Nonresidential Buildings,0.03779,0.07298,0.06166,corporate,0.00621,0.02162,0.01663,0.06029,0.09548,0.08416,0.41857,0.29992,0.33105
79,79,Other commercial,342925648721.18970,SC02,0.02620,0.14153,0.21099,0.18854,Structures,-0.14694,0.21270,0.14112,0.17674,0.30285,0.27736,Nonresidential Buildings,0.03836,0.07367,0.06231,corporate,0.00678,0.02231,0.01728,0.06456,0.09987,0.08851,0.41857,0.29992,0.33105
80,80,Multimerchandise shopping,424453104850.84991,SC03,0.02620,0.14153,0.21099,0.18854,Structures,-0.14694,0.21270,0.14112,0.17674,0.30285,0.27736,Nonresidential Buildings,0.03836,0.07367,0.06231,corporate,0.00678,0.02231,0.01728,0.06456,0.09987,0.08851,0.41857,0.29992,0.33105
81,81,Food and beverage establishments,177715537882.64343,SC04,0.02620,0.14153,0.21099,0.18854,Structures,-0.14694,0.21270,0.14112,0.17674,0.30285,0.27736,Nonresidential Buildings,0.03836,0.07367,0.06231,corporate,0.00678,0.02231,0.01728,0.06456,0.09987,0.08851,0.41857,0.29992,0.33105
82,82,Manufacturing,1098167248469.70093,SI00,0.03140,0.14471,0.21482,0.19219,Structures,-0.12341,0.22291,0.15368,0.19363,0.31189,0.28793,Nonresidential Buildings,0.03917,0.07464,0.06324,corporate,0.00758,0.02328,0.01821,0.07057,0.10604,0.09464,0.41857,0.29992,0.33105
83,83,Public safety,15488160357.01913,SO03,0.02370,0.14001,0.20916,0.18678,Structures,-0.15861,0.20769,0.13495,0.16836,0.29842,0.27217,Nonresidential Buildings,0.03798,0.07320,0.06187,corporate,0.00639,0.02185,0.01684,0.06168,0.09690,0.08557,0.41857,0.29992,0.33105
