,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
51,Semiconductor and other component manufacturing,0.00000,RD23,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
52,Navigational and other instruments manufacturing,0.00000,RD24,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
53,"Other computer and electronic manufacturing, n.e.c.",0.00000,RD25,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
54,Motor vehicles and parts manufacturing,0.00000,RD31,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
55,Aerospace products and parts manufacturing,0.00000,RD32,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
56,Software publishers,0.00000,RD40,0.00000,0.09644,0.12451,0.11536,Intellectual Property,-0.22434,0.11755,0.06951,-0.17071,0.10485,0.05930,Intellectual Property,-0.00528,0.00773,0.00351,corporate,-0.00528,0.00773,0.00351,-0.00528,0.00773,0.00351,-0.03173,-0.05161,-0.04538
57,Financial and real estate services,0.00000,RD50,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,-0.00000,-0.06844,-0.35414,-0.00000,-0.05838,Intellectual Property,-0.00952,-0.00000,-0.00305,corporate,-0.00952,-0.00000,-0.00305,-0.00952,-0.00000,-0.00305,0.00000,0.00000,0.00000
58,Computer systems design and related services,0.00000,RD60,0.00000,0.10421,0.13715,0.12648,Intellectual Property,-0.11426,0.16686,0.12916,-0.08694,0.14884,0.11019,Intellectual Property,-0.00289,0.01162,0.00693,corporate,-0.00289,0.01162,0.00693,-0.00289,0.01162,0.00693,-0.03173,-0.05161,-0.04538
59,Scientific research and development services,0.00000,RD70,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,-0.00000,-0.06844,-0.35414,-0.00000,-0.05838,Intellectual Property,-0.00952,-0.00000,-0.00305,corporate,-0.00952,-0.00000,-0.00305,-0.00952,-0.00000,-0.00305,0.00000,0.00000,0.00000
60,"All other nonmanufacturing, n.e.c.",0.00000,RD80,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,-0.00000,-0.06844,-0.35414,-0.00000,-0.05838,Intellectual Property,-0.00952,-0.00000,-0.00305,corporate,-0.00952,-0.00000,-0.00305,-0.00952,-0.00000,-0.00305,0.00000,0.00000,0.00000
61,Private universities and colleges,0.00000,RD91,0.00000,0.09311,0.11909,0.11060,Intellectual Property,-0.27665,0.09458,0.04161,-0.21051,0.08436,0.03550,Intellectual Property,-0.00630,0.00606,0.00205,corporate,-0.00630,0.00606,0.00205,-0.00630,0.00606,0.00205,-0.03173,-0.05161,-0.04538
62,Other nonprofit institutions,0.00000,RD92,0.00000,0.09311,0.11909,0.11060,Intellectual Property,-0.27665,0.09458,0.04161,-0.21051,0.08436,0.03550,Intellectual Property,-0.00630,0.00606,0.00205,corporate,-0.00630,0.00606,0.00205,-0.00630,0.00606,0.00205,-0.03173,-0.05161,-0.04538
63,Other manufacturing,0.00000,RDOM,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,-0.00000,-0.06844,-0.35414,-0.00000,-0.05838,Intellectual Property,-0.00952,-0.00000,-0.00305,corporate,-0.00952,-0.00000,-0.00305,-0.00952,-0.00000,-0.00305,0.00000,0.00000,0.00000
64,Inventories,0.00000,INV,0.00000,0.09786,0.14462,0.12972,Inventories,-0.04949,0.14619,0.12032,-0.03766,0.13040,0.10264,Inventories,-0.00225,0.01764,0.01130,corporate,-0.00225,0.01764,0.01130,-0.00225,0.01764,0.01130,0.00000,0.00000,0.00000
65,Land,0.00000,LAND,0.00000,0.09240,0.14000,0.12477,Land,-0.10950,0.14000,0.10794,-0.08333,0.12488,0.09208,Land,-0.00436,0.01581,0.00936,corporate,-0.00436,0.01581,0.00936,-0.00436,0.01581,0.00936,0.00000,0.00000,0.00000
66,Petroleum and natural gas,0.00000,SM01,0.00000,0.09027,0.11512,0.10694,Structures,-0.32389,0.07699,0.01913,-0.24646,0.06867,0.01632,Mining and Drilling Structures,-0.00718,0.00484,0.00092,corporate,-0.00718,0.00484,0.00092,-0.00718,0.00484,0.00092,-0.04214,-0.06750,-0.05963
67,Mining,0.00000,SM02,0.00000,0.09002,0.11572,0.10719,Structures,-0.32831,0.07969,0.02073,-0.24983,0.07108,0.01769,Mining and Drilling Structures,-0.00726,0.00502,0.00100,corporate,-0.00726,0.00502,0.00100,-0.00726,0.00502,0.00100,-0.05746,-0.09055,-0.08040
68,Communication,0.00000,SU20,0.00000,0.09404,0.12585,0.11521,Structures,-0.26164,0.12306,0.06866,-0.19909,0.10977,0.05858,Mining and Drilling Structures,-0.00602,0.00814,0.00347,corporate,-0.00602,0.00814,0.00347,-0.00602,0.00814,0.00347,-0.12535,-0.18502,-0.16763
69,Gas,0.00000,SU40,0.00000,0.09027,0.11512,0.10694,Structures,-0.32389,0.07699,0.01913,-0.24646,0.06867,0.01632,Mining and Drilling Structures,-0.00718,0.00484,0.00092,corporate,-0.00718,0.00484,0.00092,-0.00718,0.00484,0.00092,-0.04214,-0.06750,-0.05963
70,Petroleum pipelines,0.00000,SU50,0.00000,0.08648,0.10905,0.10157,Structures,-0.39148,0.04870,-0.01564,-0.29789,0.04344,-0.01334,Mining and Drilling Structures,-0.00834,0.00297,-0.00073,corporate,-0.00834,0.00297,-0.00073,-0.00834,0.00297,-0.00073,-0.04214,-0.06750,-0.05963
71,Religious,0.00000,SB10,0.00000,0.08967,0.13059,0.11700,Structures,-0.16840,0.12304,0.08314,-0.12814,0.10975,0.07092,Nonresidential Buildings,-0.00576,0.01215,0.00625,corporate,-0.00576,0.01215,0.00625,-0.00576,0.01215,0.00625,0.05243,0.00000,0.01231
72,Educational and vocational,0.00000,SB20,0.00000,0.09120,0.13557,0.12092,Structures,-0.13532,0.13272,0.09663,-0.10297,0.11838,0.08243,Nonresidential Buildings,-0.00501,0.01409,0.00783,corporate,-0.00501,0.01409,0.00783,-0.00501,0.01409,0.00783,0.05806,0.00000,0.01305
73,Hospitals,0.00000,SB31,0.00000,0.09120,0.13557,0.12092,Structures,-0.13532,0.13272,0.09663,-0.10297,0.11838,0.08243,Nonresidential Buildings,-0.00501,0.01409,0.00783,corporate,-0.00501,0.01409,0.00783,-0.00501,0.01409,0.00783,0.05806,0.00000,0.01305
74,Special care,0.00000,SB32,0.00000,0.09120,0.13557,0.12092,Structures,-0.13532,0.13272,0.09663,-0.10297,0.11838,0.08243,Nonresidential Buildings,-0.00501,0.01409,0.00783,corporate,-0.00501,0.01409,0.00783,-0.00501,0.01409,0.00783,0.05806,0.00000,0.01305
75,Lodging,0.00000,SB41,0.00000,0.09404,0.13995,0.12492,Structures,-0.09429,0.13993,0.10841,-0.07175,0.12481,0.09249,Nonresidential Buildings,-0.00383,0.01579,0.00941,corporate,-0.00383,0.01579,0.00941,-0.00383,0.01579,0.00941,0.05806,0.00000,0.01305
76,Air transportation,0.00000,SB43,0.00000,0.09269,0.13788,0.12303,Structures,-0.11282,0.13666,0.10307,-0.08585,0.12190,0.08792,Nonresidential Buildings,-0.00439,0.01499,0.00866,corporate,-0.00439,0.01499,0.00866,-0.00439,0.01499,0.00866,0.05806,0.00000,0.01305
77,Other transportation,0.00000,SB45,0.00000,0.09269,0.13788,0.12303,Structures,-0.11282,0.13666,0.10307,-0.08585,0.12190,0.08792,Nonresidential Buildings,-0.00439,0.01499,0.00866,corporate,-0.00439,0.01499,0.00866,-0.00439,0.01499,0.00866,0.05806,0.00000,0.01305
78,Warehouses,0.00000,SC01,0.00000,0.09233,0.13731,0.12251,Structures,-0.11814,0.13572,0.10154,-0.08990,0.12106,0.08662,Nonresidential Buildings,-0.00454,0.01477,0.00846,corporate,-0.00454,0.01477,0.00846,-0.00454,0.01477,0.00846,0.05806,0.00000,0.01305
79,Other commercial,0.00000,SC02,0.00000,0.09346,0.13906,0.12411,Structures,-0.10210,0.13854,0.10615,-0.07770,0.12358,0.09056,Nonresidential Buildings,-0.00407,0.01545,0.00908,corporate,-0.00407,0.01545,0.00908,-0.00407,0.01545,0.00908,0.05806,0.00000,0.01305
80,Multimerchandise shopping,0.00000,SC03,0.00000,0.09346,0.13906,0.12411,Structures,-0.10210,0.13854,0.10615,-0.07770,0.12358,0.09056,Nonresidential Buildings,-0.00407,0.01545,0.00908,corporate,-0.00407,0.01545,0.00908,-0.00407,0.01545,0.00908,0.05806,0.00000,0.01305
81,Food and beverage establishments,0.00000,SC04,0.00000,0.09346,0.13906,0.12411,Structures,-0.10210,0.13854,0.10615,-0.07770,0.12358,0.09056,Nonresidential Buildings,-0.00407,0.01545,0.00908,corporate,-0.00407,0.01545,0.00908,-0.00407,0.01545,0.00908,0.05806,0.00000,0.01305
82,Manufacturing,0.00000,SI00,0.00000,0.09505,0.14151,0.12634,Structures,-0.08134,0.14222,0.11217,-0.06189,0.12686,0.09569,Nonresidential Buildings,-0.00341,0.01640,0.00997,corporate,-0.00341,0.01640,0.00997,-0.00341,0.01640,0.00997,0.05806,0.00000,0.01305
83,Public safety,0.00000,SO03,0.00000,0.09269,0.13788,0.12303,Structures,-0.11282,0.13666,0.10307,-0.08585,0.12190,0.08792,Nonresidential Buildings,-0.00439,0.01499,0.00866,corporate,-0.00439,0.01499,0.00866,-0.00439,0.01499,0.00866,0.05806,0.00000,0.01305
84,Office,0.00000,SOO1,0.00000,0.09300,0.13835,0.12346,Structures,-0.10847,0.13742,0.10431,-0.08254,0.12258,0.08899,Nonresidential Buildings,-0.00426,0.01517,0.00883,corporate,-0.00426,0.01517,0.00883,-0.00426,0.01517,0.00883,0.05806,0.00000,0.01305
