Codes:,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,corporate_limited_partners,tax_exempt_limited_partners
524210,8329666.66667,26485666.6667,168095333.333,333016666.667,526019663.823,1299915674.05,1049260336.18,-297330.489174,3710801666.67,134747330.489
52429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,54498000.0,7393026000.0,1068923000.0,12483136000.0,11202900966.6,11881811086.7,7914262033.4,1299413033.4,6906499000.0,11124531966.6
5251,2706.88403325,367207.311035,53092.7850833,620030.120798,556441.589646,590162.66132,393096.802325,64541.0912822,343041.79729,552549.046896
52511,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
525110,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
52512,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
525120,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
52519,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
525190,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
5259,54495293.116,7392658792.69,1068869907.21,12482515969.9,11202344525.0,11881220924.0,7913868936.6,1299348492.31,6906155958.2,11123979417.6
52591,54493488.5266,7392413987.81,1068834512.02,12482102616.5,11201973564.0,11880827482.3,7913606872.06,1299305464.91,6905927263.67,11123611051.5
525910,54493488.5266,7392413987.81,1068834512.02,12482102616.5,11201973564.0,11880827482.3,7913606872.06,1299305464.91,6905927263.67,11123611051.5
52592,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
525920,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
52599,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
525990,902.294677748,122402.437012,17697.5950278,206676.706933,185480.529882,196720.887107,131032.267442,21513.6970941,114347.265763,184183.015632
53,-980000.0,8360856000.0,15292991000.0,16641510000.0,12346203813.1,24545235813.1,58843396186.9,4839821186.89,9038399000.0,2317188813.11
531,-980000.0,8188131098.99,14529556000.0,15238558000.0,12293981831.6,24757623930.6,56768096069.4,4680296168.39,3425416000.0,2279414831.61
5311,-8383280.58836,5841560351.8,13696700000.0,10559737719.4,9856952159.45,16577355230.7,44898939769.3,4445586401.73,-2678988000.0,1717683878.86
53111,-11765757.308,789285781.331,2940242000.0,2051631242.69,368847716.441,47333740.4642,7928187259.54,1876985798.18,-5168911000.0,494694959.133
531110,-11765757.308,789285781.331,2940242000.0,2051631242.69,368847716.441,47333740.4642,7928187259.54,1876985798.18,-5168911000.0,494694959.133
53112,3382425.6787,4743690616.46,8904807000.0,7432808425.68,9105770502.64,13898756544.8,31235774455.2,2477029646.0,1763807000.0,1077819928.32
531120,3382425.6787,4743690616.46,8904807000.0,7432808425.68,9105770502.64,13898756544.8,31235774455.2,2477029646.0,1763807000.0,1077819928.32
53113,10.8023089066,81350990.267,115192000.0,311432010.802,135957987.379,1096584988.45,338716011.552,6614991.0167,764488000.0,3474998.181
531130,10.8023089066,81350990.267,115192000.0,311432010.802,135957987.379,1096584988.45,338716011.552,6614991.0167,764488000.0,3474998.181
53119,40.2386384507,227232963.744,1736459000.0,763866040.239,246375952.986,1534679956.97,5396262043.03,84955966.5372,-38372000.0,141693993.224
531190,40.2386384507,227232963.744,1736459000.0,763866040.239,246375952.986,1534679956.97,5396262043.03,84955966.5372,-38372000.0,141693993.224
5312,3701780.58836,1173285247.19,416428000.0,2339410280.59,1218514672.16,4090134199.94,5934578300.06,117354766.66,3052202000.0,280865452.752
53121,3701780.58836,1173285247.19,416428000.0,2339410280.59,1218514672.16,4090134199.94,5934578300.06,117354766.66,3052202000.0,280865452.752
531210,3701780.58836,1173285247.19,416428000.0,2339410280.59,1218514672.16,4090134199.94,5934578300.06,117354766.66,3052202000.0,280865452.752
5313,3701500.0,1173285500.0,416428000.0,2339410000.0,1218515000.0,4090134500.0,5934578000.0,117355000.0,3052202000.0,280865500.0
53131,1233833.33333,391095166.667,138809333.333,779803333.333,406171666.667,1363378166.67,1978192666.67,39118333.3333,1017400666.67,93621833.3333
531311,616916.666667,195547583.333,69404666.6667,389901666.667,203085833.333,681689083.333,989096333.333,19559166.6667,508700333.333,46810916.6667
