,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
10,Special industrial machinery,0.0,EI40,0.0,0.10065433112394921,0.12724240619366564,0.11832169720967883,Equipment,-0.35171352662609573,0.12869601796303234,0.08016269020600197,-0.2742306379547913,0.11365474295794316,0.06861254084931287,Industrial Machinery,-0.005705128884938709,0.00856689421343558,0.0038729160645165697,corporate,-0.005705128884938709,0.00856689421343558,0.0038729160645165697,-0.005705128884938709,0.008566894213435594,0.003872916064516563,-0.057459534811489354,-0.09875820233631505,-0.08624035868520818
11,General industrial equipment,0.0,EI50,0.0,0.10106660328622166,0.12795099629542875,0.11894047178324513,Equipment,-0.34208622044099873,0.13154049869721837,0.0838014330006073,-0.26672423823723956,0.11616677659977347,0.07172699955813884,Industrial Machinery,-0.005578275911931805,0.008784921937055018,0.004063308240998528,corporate,-0.005578275911931805,0.008784921937055018,0.004063308240998528,-0.0055782759119318015,0.008784921937055018,0.004063308240998514,-0.05745953481148969,-0.09875820233631527,-0.08624035868520852
12,Office and accounting equipment,0.0,EP12,0.0,0.11274533743399012,0.14725744502516486,0.13600056802650076,Equipment,-0.10594826142307778,0.20247910963866422,0.1747578675637769,-0.08260773931262247,0.17881447712660326,0.14957808047790158,Instruments and Communications Equipment,-0.0019848192510799577,0.014725367700050736,0.009312568623538693,corporate,-0.0019848192510799577,0.014725367700050736,0.009312568623538693,-0.001984819251079961,0.014725367700050729,0.009312568623538686,-0.042137630548440885,-0.07393109338456705,-0.06414788627532808
13,Communications,0.0,EP20,0.0,0.10163976214596626,0.12893610936373356,0.11980071936113007,Equipment,-0.32886879866711305,0.13546430199073425,0.08881696315884384,-0.2564186294654065,0.11963198758143863,0.0760198728010231,Instruments and Communications Equipment,-0.005401919339702684,0.009088033650379551,0.004327999803424645,corporate,-0.005401919339702684,0.009088033650379551,0.004327999803424645,-0.005401919339702688,0.009088033650379551,0.004327999803424631,-0.05745953481148958,-0.09875820233631538,-0.08624035868520863
14,Photocopy and related equipment,0.0,EP31,0.0,0.10301891886264619,0.13019230039467217,0.12119363217699808,Equipment,-0.2978366980963886,0.14041669652447242,0.09683327689064765,-0.2322229358330889,0.12400557377833261,0.08288116515499547,Instruments and Communications Equipment,-0.004977563426878082,0.009474553967591427,0.004756588362153244,corporate,-0.004977563426878082,0.009474553967591427,0.004756588362153244,-0.004977563426878079,0.00947455396759142,0.00475658836215323,-0.04213763054844122,-0.07393109338456716,-0.06414788627532841
15,Nonelectro medical instruments,0.0,EP34,0.0,0.10386200965480058,0.13275558283909047,0.12313606523328047,Equipment,-0.27938530905205705,0.15034817881181275,0.10780085925865503,-0.21783640871450505,0.1327763196368662,0.09226849598570114,Instruments and Communications Equipment,-0.00471815087544597,0.010263256258181697,0.00535426007177861,corporate,-0.00471815087544597,0.010263256258181697,0.00535426007177861,-0.00471815087544597,0.010263256258181697,0.00535426007177861,-0.05745953481148958,-0.09875820233631538,-0.0862403586852083
16,Electro medical instruments,0.0,EP35,0.0,0.10386200965480058,0.1327555828390904,0.12313606523328047,Equipment,-0.27938530905205716,0.15034817881181248,0.107800859258655,-0.21783640871450516,0.13277631963686592,0.09226849598570111,Instruments and Communications Equipment,-0.00471815087544597,0.010263256258181676,0.00535426007177861,corporate,-0.00471815087544597,0.010263256258181676,0.00535426007177861,-0.00471815087544597,0.010263256258181697,0.00535426007177861,-0.05745953481148958,-0.09875820233631516,-0.0862403586852083
17,Nonmedical instruments,0.0,EP36,0.0,0.10386200965480055,0.13275558283909045,0.12313606523328052,Equipment,-0.2793853090520575,0.15034817881181273,0.10780085925865537,-0.21783640871450533,0.13277631963686615,0.09226849598570143,Instruments and Communications Equipment,-0.0047181508754459735,0.01026325625818169,0.005354260071778624,corporate,-0.0047181508754459735,0.01026325625818169,0.005354260071778624,-0.00471815087544597,0.010263256258181669,0.005354260071778638,-0.05745953481148969,-0.09875820233631549,-0.08624035868520885
18,Household furniture,0.0,EO11,0.0,0.09988493259060603,0.12469367532419506,0.11642263313527051,Equipment,-0.36995511517176877,0.11830881005174688,0.06882950619622062,-0.2884535838624327,0.10448153415246968,0.05891228567043065,Office and Residential Equipment,-0.005941866895198152,0.007782669330521554,0.0032885886570063333,corporate,-0.005941866895198152,0.007782669330521554,0.0032885886570063333,-0.005941866895198156,0.007782669330521547,0.003288588657006347,-0.042137630548440774,-0.07393109338456694,-0.06414788627532797
19,Other furniture,0.0,EO12,0.0,0.10214253307556673,0.12980024363417622,0.12055532249962572,Equipment,-0.31743140988569096,0.138877157601436,0.09317569826544318,-0.24750091039968308,0.12264596760449034,0.07975058455463752,Office and Residential Equipment,-0.0052472205921333115,0.00935392111820807,0.004560185384500211,corporate,-0.0052472205921333115,0.00935392111820807,0.004560185384500211,-0.0052472205921333115,0.009353921118208042,0.004560185384500232,-0.057459534811489354,-0.09875820233631538,-0.08624035868520852
